SMILES;FSP3;LogP;Molecular Weight;Number of Rotatable Bonds;Polar Surface Area;Solubility in Water (mg/L);AmpC β-lactamase aggregation;Cysteine protease cruzain aggregation;Firefly Luciferase interference;Nano Luciferase interference;Redox interference;Thiol interference;AmpC β-lactamase aggregation_prob;Cysteine protease cruzain aggregation_prob;Firefly Luciferase interference_prob;Nano Luciferase interference_prob;Redox interference_prob;Thiol interference_prob;AmpC β-lactamase aggregation_AD;Cysteine protease cruzain aggregation_AD;Firefly Luciferase interference_AD;Nano Luciferase interference_AD;Redox interference_AD;Thiol interference_AD;OverallScore;StoplightColor;ConsensusAssayScore
CCOc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1;0.15;3.92;433.51;8;112.93;2.25;0;0;0;0;0;1;0.9815;0.8506;0.9965;0.9287;0.8066;0.643;NA;NA;NA;NA;NA;NA;0.75;yellow;0.17985
Cc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1[N+](=O)[O-];0.11;3.74;448.48;7;146.84;1.16;0;0;0;0;0;1;0.9896;0.806;0.9946;0.9462;0.8087;0.8144;NA;NA;NA;NA;NA;NA;0.916666667;yellow;0.21155
COc1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1;0.11;3.53;419.48;7;112.93;3.56;0;0;0;0;0;1;0.9879;0.8373;0.993;0.9674;0.7766;0.7685;NA;NA;NA;NA;NA;NA;0.75;yellow;0.20105
O=c1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1;0.62;-3.46;245.19;2;137.67;65938.99;0;0;0;0;0;0;0.9854;0.9812;0.999;0.9999;0.9991;0.7694;NA;NA;NA;NA;NA;NA;0.083333333;yellow;0.044333333
O=C1C(Cl)=CC(=Nc2ccc([O-])cc2)C=C1Cl.[Na+];0;-0.34;290.08;1;52.49;216.89;0;0;0;0;0;0;0.9884;0.9311;0.8783;0.9933;0.996;0.9369;NA;NA;NA;NA;NA;NA;0.166666667;yellow;0.046
C#CCSc1nsc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)n1;0.15;4.58;392.82;4;66.91;1.29;0;0;0;0;0;0;0.9752;0.7121;0.9932;0.9979;0.9976;0.9941;NA;NA;NA;NA;NA;NA;0.5;yellow;0.054983333
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21;0.55;-1.59;281.27;2;139.54;6725.33;0;0;0;0;0;0;0.9649;0.9706;0.999;1;0.9923;0.9232;NA;NA;NA;NA;NA;NA;0.083333333;yellow;0.025
CSc1cccc(N2C(=O)c3ccc(-c4ccco4)n3CC2(C)C(=O)NC2CCCC2)c1;0.36;4.95;449.58;5;67.48;1.14;0;0;0;0;0;0;0.9304;0.9206;0.9977;0.9977;0.9928;0.5884;NA;NA;NA;NA;NA;NA;0.416666667;yellow;0.0954
CC(C)c1ccc(S(=O)(=O)/N=C2/C=C(Sc3nc[nH]n3)C(=O)c3ccccc32)cc1;0.14;3.98;438.53;5;105.14;0.19;0;1;0;0;0;0;0.9027;0.5285;0.9981;0.9807;0.9957;0.953;NA;NA;NA;NA;NA;NA;0.666666667;yellow;0.116383333
COc1ccc(Cl)c2sc(NC(=O)c3ccccc3NS(=O)(=O)c3ccc(C)cc3)nc12;0.09;5.32;487.99;6;97.39;2.58;0;0;0;0;0;0;0.9579;0.7875;0.878;0.8605;0.9955;0.9846;NA;NA;NA;NA;NA;NA;0.583333333;yellow;0.089333333
